Date,SF,SF_lo,SF_hi,FF,FF_lo,FF_hi,FG,FG_lo,FG_hi,GP,GP_lo,GP_hi,LAB,LAB_lo,LAB_hi,SD,SD_lo,SD_hi,SPBP,SPBP_lo,SPBP_hi,AU,AU_lo,AU_hi,OTH,OTH_lo,OTH_hi
14/03/2020,0.279787332,0.259851137,0.300309897,0.201224066,0.173589781,0.228427922,0.279524805,0.254055076,0.306237179,0.060367698,0.044671966,0.076256216,0.036548759,0.027184024,0.045676332,0.026796126,0.019855839,0.034278225,0.024233288,0.018417896,0.030836692,0.01535101,0.010064085,0.02064593,0.076166917,0.057983311,0.095462673
15/03/2020,0.279839936,0.260313028,0.300510823,0.201939299,0.174713988,0.228949287,0.281856499,0.256700669,0.308990151,0.059927862,0.044521306,0.075421535,0.036423325,0.027202307,0.045592107,0.026623976,0.019455069,0.034008641,0.024008641,0.01825242,0.030631806,0.015256833,0.009929589,0.020670402,0.07412363,0.055755415,0.09265145
16/03/2020,0.279865319,0.260251486,0.300555322,0.202448337,0.175638981,0.228588544,0.284369178,0.259184678,0.312134515,0.059559292,0.044750745,0.075067068,0.036244477,0.027113732,0.045268908,0.02645139,0.018954518,0.03395717,0.023777218,0.018094035,0.03021484,0.015179721,0.009928015,0.020766269,0.072105068,0.054140976,0.09029415
17/03/2020,0.279817838,0.260903802,0.300326215,0.202840013,0.177241845,0.228956736,0.286947324,0.261403386,0.314441904,0.059194394,0.044556096,0.074740118,0.036081289,0.026880195,0.045046149,0.026265795,0.019138676,0.033394623,0.02356625,0.01786827,0.02992402,0.015103769,0.009917587,0.020557921,0.070183329,0.053356034,0.087894322
18/03/2020,0.279853674,0.260550112,0.300304715,0.203207171,0.177572241,0.229074296,0.289410032,0.264255616,0.316779158,0.058841903,0.04460727,0.074161619,0.035925902,0.027013723,0.044910334,0.026078726,0.018874034,0.033324635,0.02335005,0.017786115,0.02960172,0.015019299,0.00984465,0.020351551,0.068313244,0.051937812,0.085679468
19/03/2020,0.27977266,0.260638006,0.300467533,0.203730733,0.179615146,0.229401535,0.291829212,0.26682737,0.318962221,0.0583748,0.044503561,0.072484112,0.035791867,0.027089588,0.044609983,0.025901577,0.018707018,0.033027558,0.023139671,0.017666179,0.02923731,0.014940042,0.009812375,0.020308431,0.066519437,0.050872202,0.083109291
20/03/2020,0.279795556,0.260517263,0.299849673,0.204166366,0.180721227,0.229632039,0.294289572,0.269929096,0.320921664,0.057966604,0.044099001,0.072040138,0.035650109,0.027038328,0.044355513,0.025712629,0.018556784,0.032678151,0.022936586,0.017421244,0.028906675,0.014866897,0.009786699,0.020164841,0.06461568,0.049389387,0.080780459
21/03/2020,0.279662561,0.260486474,0.300174131,0.20460571,0.18114551,0.22890268,0.2967628,0.273064598,0.322663777,0.057580251,0.044117883,0.071173431,0.035521049,0.027010684,0.043939516,0.025534817,0.018449653,0.032403251,0.022688792,0.017116287,0.028466197,0.01477953,0.009568063,0.020140207,0.062864489,0.047971924,0.078329474
22/03/2020,0.27960118,0.261039307,0.298905626,0.204991198,0.182413209,0.228263839,0.299244229,0.275817388,0.324089221,0.057134719,0.044360687,0.069739899,0.035382649,0.026753728,0.043785016,0.025379107,0.018247008,0.032190995,0.022465345,0.0169037,0.028183139,0.014696158,0.009581838,0.01998075,0.061105415,0.047374416,0.076035301
23/03/2020,0.27952659,0.261504682,0.29914963,0.205275176,0.183366304,0.226944656,0.301687208,0.279004207,0.326254475,0.056788304,0.044438471,0.068648759,0.035223284,0.026544397,0.043665762,0.025182048,0.018149943,0.031877833,0.022230338,0.01670779,0.027796261,0.014585473,0.009453552,0.019991048,0.05950158,0.046405066,0.073331257
24/03/2020,0.27936963,0.260954648,0.298999315,0.204538369,0.181463598,0.227424641,0.302410655,0.278220617,0.328584425,0.05691089,0.044262015,0.069754794,0.03515717,0.026360178,0.043743409,0.02515027,0.017968156,0.032076627,0.022090189,0.016457524,0.027639336,0.014464214,0.009156597,0.020006996,0.059908614,0.045677184,0.074507306
25/03/2020,0.279156408,0.260352815,0.299187895,0.203657122,0.180524975,0.228331015,0.303250334,0.27764625,0.33091763,0.057048501,0.04384031,0.070668514,0.035096806,0.02645297,0.043867222,0.025085768,0.017960084,0.032158351,0.021983893,0.016290958,0.02764335,0.014352588,0.009030662,0.020006645,0.06036858,0.04562188,0.076231972
26/03/2020,0.278992397,0.260161031,0.299318774,0.20283156,0.179331743,0.227713309,0.303951175,0.278150743,0.33145931,0.05723398,0.043674459,0.071355635,0.035062857,0.026350082,0.044000533,0.025039899,0.018004439,0.032223718,0.021849649,0.01620108,0.027625531,0.014248372,0.00896816,0.019757274,0.060790109,0.045732695,0.077035273
27/03/2020,0.278854408,0.259954902,0.299563536,0.20203136,0.177655712,0.227930518,0.304632076,0.278174751,0.333488404,0.057349148,0.043372233,0.07132439,0.03501186,0.026152998,0.044094313,0.024993629,0.017752119,0.032165118,0.021749022,0.016013452,0.027616334,0.014137452,0.008835666,0.019882234,0.061241044,0.045084465,0.078169938
28/03/2020,0.278637968,0.259571229,0.299328996,0.201250655,0.176242026,0.227696966,0.305405998,0.278627798,0.335441858,0.057549333,0.042983606,0.072214502,0.034949561,0.025933637,0.043856736,0.024897794,0.017503376,0.032153944,0.021643128,0.01594005,0.027477355,0.01401966,0.008624631,0.019798549,0.061645903,0.045151627,0.078541053
29/03/2020,0.278456423,0.259227848,0.299110873,0.200387974,0.174927901,0.228847705,0.306145277,0.277783355,0.337897524,0.057697885,0.043074703,0.072860446,0.034865344,0.025942021,0.043839424,0.024836528,0.017293455,0.032227375,0.021514252,0.015701273,0.027235998,0.013907508,0.008655061,0.019678597,0.062188808,0.045209865,0.079834772
30/03/2020,0.278257419,0.258138372,0.299301349,0.199583279,0.174357642,0.228443549,0.307040092,0.278649907,0.338781844,0.057789531,0.042843232,0.073771274,0.034789313,0.025655205,0.043932778,0.024782531,0.017162081,0.032299579,0.021393082,0.015519162,0.02722573,0.013793014,0.008474691,0.01955961,0.062571738,0.0456132,0.081075433
31/03/2020,0.278115582,0.257899722,0.299002599,0.198730985,0.172158458,0.227447014,0.307847477,0.279066501,0.340902348,0.057900919,0.042888453,0.07422847,0.034698361,0.02572077,0.043901432,0.024760882,0.017238231,0.032295695,0.021274798,0.015426443,0.027165352,0.013693654,0.008346321,0.019566875,0.062977341,0.045879157,0.081491379
01/04/2020,0.277980808,0.257786341,0.298796924,0.197893292,0.17128533,0.227426403,0.308691309,0.279485985,0.341205823,0.057996502,0.043103853,0.074355249,0.034612789,0.025344355,0.043922334,0.024684307,0.017200303,0.032355067,0.02115468,0.015273786,0.027178407,0.013569004,0.008267858,0.019484837,0.063417308,0.04594308,0.082969022
02/04/2020,0.277804018,0.257058551,0.29906897,0.197006838,0.169565198,0.226797369,0.309585723,0.279548352,0.341944629,0.058096708,0.042462915,0.075195716,0.0345292,0.025370768,0.044130536,0.024619782,0.01695531,0.032414,0.021021391,0.01521495,0.027175348,0.013450713,0.008113974,0.019352037,0.063885627,0.045987673,0.083382705
03/04/2020,0.277776991,0.256937219,0.299448901,0.196222577,0.167429129,0.226432613,0.310244039,0.279961015,0.34338305,0.058249835,0.042731819,0.075141677,0.034454422,0.025363512,0.043890128,0.024559256,0.017041244,0.032444135,0.020901157,0.014955701,0.027017574,0.013341221,0.008042182,0.01908304,0.064250502,0.046322424,0.08418836
04/04/2020,0.277662407,0.257355353,0.299869565,0.195458801,0.166689346,0.226372529,0.310856292,0.280030184,0.344311713,0.058356618,0.042826197,0.075701447,0.034384727,0.025246326,0.044056183,0.024531783,0.017100065,0.032352518,0.020775461,0.014781151,0.027038571,0.013231507,0.008001639,0.018980547,0.064742403,0.046760746,0.08536475
05/04/2020,0.277514971,0.256700187,0.299959784,0.194746526,0.166669883,0.225803811,0.311520269,0.281127308,0.345791484,0.058487004,0.042395582,0.07626962,0.03431493,0.025061109,0.043916412,0.024468534,0.016804389,0.032235146,0.02065882,0.014656464,0.026644355,0.013127922,0.007964049,0.019057151,0.065161026,0.046988412,0.085625152
06/04/2020,0.27744847,0.256450019,0.299514207,0.193971435,0.166078467,0.224769095,0.312145373,0.281636856,0.345935141,0.058594288,0.042386257,0.076685451,0.034237859,0.024922539,0.043926859,0.024405539,0.016922233,0.032109892,0.020552664,0.014549864,0.026417028,0.013018272,0.007821249,0.018817183,0.0656261,0.046544153,0.086936582
07/04/2020,0.277228094,0.256327979,0.298993711,0.193411433,0.165318272,0.224058967,0.312853376,0.281681553,0.347336701,0.05870512,0.042407269,0.076195255,0.034114217,0.024911489,0.043623544,0.024352226,0.016814046,0.03200359,0.020432704,0.014543628,0.026298859,0.012895301,0.007716099,0.018548469,0.066007529,0.04727399,0.087404485
08/04/2020,0.277149082,0.25607911,0.298666298,0.192652125,0.164057608,0.223235715,0.313431342,0.282635969,0.346977149,0.058899694,0.042816128,0.076998173,0.034049905,0.0249834,0.043714729,0.024290526,0.016818349,0.032336065,0.020326922,0.014397181,0.026247992,0.012786794,0.007528252,0.018442204,0.06641361,0.047365643,0.088126433
09/04/2020,0.276957039,0.255865281,0.298611836,0.191887433,0.164252962,0.222276688,0.314126213,0.283289865,0.347021144,0.059041668,0.0429787,0.077162327,0.033988215,0.02510415,0.043833087,0.024234328,0.01692457,0.032340384,0.020219199,0.014222168,0.02593181,0.012673691,0.007320913,0.018225039,0.066872214,0.047804874,0.088858633
10/04/2020,0.2768492,0.255639421,0.298404407,0.191035746,0.163206926,0.220907197,0.314999508,0.284413587,0.348682579,0.059066887,0.042992719,0.077212599,0.033938053,0.025059654,0.043596063,0.024180166,0.016675839,0.031764415,0.020120634,0.014170745,0.02579894,0.012556822,0.007232444,0.018088667,0.067252984,0.048134411,0.089667636
11/04/2020,0.276629488,0.255135855,0.298649771,0.190347964,0.162986644,0.221656774,0.315750366,0.285430966,0.348539714,0.059188986,0.043497002,0.076845999,0.033842687,0.024941638,0.043892816,0.024101691,0.016648194,0.031670882,0.019969608,0.014109861,0.025823295,0.01243578,0.007123212,0.018178121,0.06773343,0.04828651,0.089839724
12/04/2020,0.276480721,0.25530812,0.298638398,0.189547116,0.161627369,0.220430309,0.316484206,0.285802967,0.350329339,0.059347443,0.043452612,0.076677282,0.033732327,0.024755867,0.043710329,0.024030956,0.016668972,0.031644717,0.019874913,0.014068328,0.02571468,0.012336037,0.007129229,0.017922439,0.06816628,0.048643786,0.090107606
13/04/2020,0.27635528,0.254786928,0.298301344,0.188855765,0.161630654,0.218685254,0.317145162,0.285815505,0.351357381,0.059451728,0.043362796,0.077014986,0.033670305,0.024950645,0.043835528,0.023969671,0.016759539,0.031771614,0.019746007,0.013916124,0.025415124,0.012229261,0.007018163,0.017811723,0.06857682,0.049304517,0.090565552
14/04/2020,0.276137695,0.255038713,0.297832489,0.188062271,0.161524743,0.218482918,0.318004785,0.287347615,0.352172239,0.059552791,0.043494407,0.077405804,0.033572091,0.024704369,0.043343361,0.023881796,0.016756139,0.031674958,0.019618176,0.01385977,0.025528519,0.012124843,0.006888723,0.017545362,0.069045553,0.049711786,0.090943761
15/04/2020,0.276036736,0.255366225,0.298220468,0.18730077,0.160650203,0.217248336,0.318605029,0.287862562,0.351514023,0.059733392,0.043723896,0.077513927,0.033522042,0.024710726,0.043174356,0.023810884,0.016761317,0.031547125,0.019510812,0.013767787,0.02526946,0.0120244,0.00685275,0.017384277,0.069455935,0.05024119,0.091515328
16/04/2020,0.275995104,0.255381613,0.297079597,0.186411399,0.159659743,0.21527815,0.319441091,0.290247641,0.352529116,0.059748454,0.043892098,0.077673685,0.033465217,0.024903209,0.043201327,0.023733629,0.016614975,0.03159432,0.019406094,0.013642571,0.024954778,0.011920476,0.006840557,0.017267315,0.069878536,0.051210173,0.09186108
17/04/2020,0.275954317,0.255628246,0.297161816,0.185547378,0.159409182,0.213782605,0.320222277,0.290854237,0.353240198,0.059850056,0.043770243,0.077280981,0.033364472,0.02473692,0.042814259,0.023643404,0.016579944,0.03123484,0.019302179,0.013499939,0.024948625,0.011829566,0.006669803,0.017365494,0.07028635,0.051822089,0.09229988
